date,ADA-USD,BNB-USD,BTC-USD,BUSD-USD,DOGE-USD,DOT-USD,ETH-USD,LTC-USD,MATIC-USD,SHIB-USD,SOL-USD,TRX-USD,USDC-USD,USDT-USD,XRP-USD,ada_usd_0,bnb_usd_0,btc_usd_0,busd_usd_0,doge_usd_0,dot_usd_0,eth_usd_0,ltc_usd_0,matic_usd_0,shib_usd_0,sol_usd_0,trx_usd_0,usdc_usd_0,usdt_usd_0,xrp_usd_0,Crude Oil,Gold,S&P 500,13 Week Treasury Bill,RSI,MACD,MACD_Signal,MACD_Histogram,%K,%D
1/23/2022,5.085864628,6.966900236,3.496657378,0.057355458,6.532507601,3.232558982,5.258382225,3.320678639,5.443260547,4.652003138,5.575299592,1.552648996,0.011300041,0.033296272,5.343214647,0.0467348,-0.015221,-0.0316491,-0.00160485,-0.0123115,0.0227636,-0.0229113,0.0535333,0.0298455,-0.0162148,0.1263246,-0.0361241,-0.00143245,-0.000444438,0.0106605,0.0,0.0,0.0,0.0,24.241521160845195,0.0,0.0,0.0,19.413045838729627,11.372544866884395
1/24/2022,-5.096917665,-3.327449544,1.035296711,-0.057748662,-2.907300836,-4.297502491,-3.806663415,-2.253701555,-6.960634219,-4.652003138,-8.29647689,-4.493902844,0.016006206,-0.005195109,-2.678388395,-0.1503147,0.3204661,0.1115973,0.00476935,0.1831859,-0.3172382,-0.0124474,0.2088956,0.2541326,0.2857448,0.1538824,0.1470028,0.000877112,0.00287952,0.0794881,-2.172839255,0.538991496,0.276790476,-1.916995444,26.69825425940249,0.0,0.0,0.0,31.2795736292043,19.183732496693807
1/25/2022,-2.182286141,3.505809186,0.814248683,-0.111410449,3.739842218,1.714451181,0.636515595,-1.40150872,3.324709806,0.0,3.295015009,1.500233482,0.012393217,0.016489966,0.882174359,-2.094314,-0.8197445,-1.228788,-0.0305874,-1.771685,-1.659295,-1.323006,-1.684656,-2.165097,-1.908796,-2.563288,-0.9821784,0.00718119,-0.00816203,-1.341721,2.711670464,0.595497661,-1.224659056,17.69307134,28.675487724957975,-2209.214907703172,0.0,0.0,33.98072712177531,28.224448863236415
1/26/2022,3.342687462,-2.331558844,-0.276082445,0.089114451,0.515966029,-1.492426291,0.491280436,-0.728306171,2.064916387,0.0,-2.655621098,0.699118471,-0.049397301,0.00259716,0.727470923,0.8237344,-0.4827167,0.0053264,0.0256036,0.0510943,0.9517083,0.1625145,0.1734752,0.0199445,-0.2725218,0.1552056,0.0313027,-0.00416881,-0.00242417,0.1383059,2.023775379,-1.238267433,-0.149775693,-3.857227026,28.395060358633003,-2219.684415857584,0.0,0.0,33.06239760689286,32.77423278595749
1/27/2022,-3.346617112,3.743452482,0.773383789,-0.061402247,-1.783673994,0.320184264,-1.841342672,-0.306827436,0.039462534,0.0,-2.865478929,0.241411624,-0.015898856,-0.028584387,-2.161526263,-0.4272715,-1.16993,-0.8385841,-0.0110351,-0.4831799,-0.0333583,-0.9315396,-0.5232713,-1.220076,-1.187986,-0.476764,-1.291502,7.33e-05,0.000711188,-0.6159558,-0.850772972,-2.020380869,-0.53986352,3.857227026,30.451974485280218,-2179.76762156708,0.0,0.0,37.513716476856445,34.85228040184154
1/28/2022,0.6755112,-1.031714186,1.724750509,0.10977742,0.289139709,1.122822205,4.994538674,2.291574506,5.353563607,0.0,1.857414533,2.087867153,-0.012502676,9.53e-05,0.612797256,4.809764,3.019242,3.368453,0.00857418,4.500583,4.936752,4.425524,4.184387,5.170561,4.540282,5.875241,2.410116,-0.00380888,0.0108863,3.599282,0.242171697,-0.469512027,2.405596791,-6.706428412,34.99323643422176,-2072.112569455523,0.0,0.0,43.64331860730648,38.07314423035193
1/29/2022,0.849597056,0.786467776,0.932135174,0.010899056,0.983464043,2.000944297,1.94372208,1.263040593,0.933392992,4.652003138,5.238145012,4.540026062,0.074402767,0.00170409,0.719517202,-0.2355242,-0.2197329,-0.0419082,-0.0170075,-0.1258786,-0.4351756,-0.082739,-0.3950023,-0.4609593,0.0534866,0.3849793,-0.1955164,-0.00376564,0.000810822,-0.3015284,0.0,0.0,0.0,0.0,37.40392812238399,-1935.9264612404222,0.0,0.0,48.31992483723879,43.15898664046724
1/30/2022,-2.107520951,-3.005099058,-0.580044646,0.013887131,-2.53795439,-2.916007262,0.245429333,-1.843041326,-5.433219497,-4.652003138,-3.087828478,-2.57825082,-0.033001462,-0.002097346,-2.254636874,0.0235842,0.0236406,0.0675084,0.00805665,0.00756321,0.0166134,0.0846766,0.0267858,-0.0408229,0.0161548,-0.0265665,0.1034041,0.00104521,0.000521057,0.0508571,0.0,0.0,0.0,0.0,36.49537207750206,-1824.7620791774243,0.0,0.0,46.275874842235304,46.07970609559353
1/31/2022,1.419314105,-0.620438202,1.480440807,-0.088155264,1.659617141,6.642059071,3.205729422,0.721511081,2.375491575,0.0,6.675995215,0.690563331,-0.052605556,0.014382621,2.612867677,3.254089,2.624146,2.742858,-0.00970999,3.311785,3.386899,3.598702,2.908054,3.988503,3.432944,3.954321,1.980761,0.000506923,0.00564926,2.564489,1.52029198,0.564261701,1.870982622,0.0,40.48673429369423,-1671.759487627467,0.0,0.0,51.80452261978183,48.80010743308531
2/1/2022,3.393345955,2.678204591,0.67373185,0.078055724,0.580800971,0.99224623,3.78990159,5.169654771,0.223119527,4.652003138,9.773411416,1.220100326,0.014406086,-0.005886258,1.61556198,0.5058501,1.130895,1.007119,-0.0286555,1.098876,0.8561957,1.436936,0.7856829,0.913031,0.821919,1.311665,0.2538498,0.00311901,0.00148224,0.5720967,0.056700226,0.294832286,0.683956035,15.99143964,42.28381940582393,-1512.081690257808,0.0,0.0,54.34777544618052,50.809390969399225
